               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033389,            0.030514,           0.0048737,             0.84377,             0.80453,             0.85247,             0.54272,            0.029683,            0.042464,           0.0042763,            0.006535,            0.006535,            0.006535
                  37,            0.033209,            0.030329,           0.0046973,             0.87544,             0.75741,             0.85042,             0.53468,            0.029798,            0.042825,           0.0041771,            0.006436,            0.006436,            0.006436
                  38,            0.032972,            0.030174,           0.0046313,             0.81238,             0.79921,             0.83835,             0.53559,            0.029793,            0.042942,           0.0042467,            0.006337,            0.006337,            0.006337
                  39,            0.032848,             0.02953,           0.0046423,             0.86307,             0.77564,              0.8501,             0.54121,            0.029509,            0.042357,            0.004025,            0.006238,            0.006238,            0.006238
                  40,            0.032924,            0.030064,           0.0045685,             0.84375,             0.79971,             0.85824,             0.54672,            0.029345,            0.042211,           0.0038605,            0.006139,            0.006139,            0.006139
                  41,            0.032558,            0.029902,           0.0044125,             0.85177,             0.79873,             0.86358,             0.55128,            0.028899,            0.041691,           0.0038505,             0.00604,             0.00604,             0.00604
                  42,            0.032394,            0.029651,           0.0044737,             0.85753,             0.78178,             0.85703,             0.55832,            0.028899,            0.041612,           0.0037783,            0.005941,            0.005941,            0.005941
                  43,            0.032153,            0.029264,           0.0043028,             0.89127,             0.77089,             0.86209,             0.56274,             0.02873,            0.041389,           0.0036257,            0.005842,            0.005842,            0.005842
                  44,            0.032166,             0.02947,           0.0043743,             0.87533,             0.79855,             0.87251,             0.56343,            0.028684,            0.041207,           0.0035141,            0.005743,            0.005743,            0.005743
                  45,            0.032037,            0.029118,           0.0041844,             0.87179,             0.81157,             0.87531,             0.55722,            0.028654,            0.041236,           0.0035852,            0.005644,            0.005644,            0.005644
                  46,            0.031797,            0.028823,           0.0041536,             0.85849,             0.79565,             0.86069,             0.56276,            0.028498,            0.041079,           0.0034883,            0.005545,            0.005545,            0.005545
                  47,            0.031893,            0.029274,           0.0041047,             0.89208,              0.7857,             0.86896,             0.56641,            0.028433,            0.041061,           0.0035258,            0.005446,            0.005446,            0.005446
