               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035572,            0.031753,           0.0056063,              0.8244,             0.75447,             0.82419,               0.501,            0.031345,            0.044298,           0.0044173,            0.006535,            0.006535,            0.006535
                  37,            0.035325,            0.031459,           0.0054331,             0.83278,             0.74691,             0.82345,             0.49193,            0.031304,            0.044351,           0.0044211,            0.006436,            0.006436,            0.006436
                  38,            0.035068,            0.031305,           0.0051808,             0.84081,             0.75964,             0.84149,             0.51228,            0.030941,            0.043965,           0.0043009,            0.006337,            0.006337,            0.006337
                  39,             0.03483,            0.030608,           0.0051009,             0.82636,             0.75304,             0.82386,             0.51173,            0.030912,            0.043625,           0.0042728,            0.006238,            0.006238,            0.006238
                  40,            0.034697,            0.031097,           0.0050479,             0.83367,             0.76466,             0.83323,             0.50936,            0.031024,            0.043836,           0.0041284,            0.006139,            0.006139,            0.006139
                  41,            0.034657,            0.031012,           0.0049871,             0.84799,             0.77741,             0.83804,             0.51565,            0.030532,            0.043217,           0.0040518,             0.00604,             0.00604,             0.00604
                  42,            0.034392,            0.030731,           0.0049442,             0.81757,               0.791,             0.84095,             0.52531,            0.030387,             0.04314,           0.0039947,            0.005941,            0.005941,            0.005941
                  43,            0.034123,            0.030394,            0.004776,             0.85611,             0.76843,             0.83787,             0.51119,              0.0305,            0.043219,           0.0040076,            0.005842,            0.005842,            0.005842
                  44,            0.034343,            0.030644,           0.0048816,             0.85748,             0.78443,             0.85247,             0.53133,            0.030223,             0.04281,           0.0038795,            0.005743,            0.005743,            0.005743
                  45,            0.033887,            0.030217,           0.0046341,             0.82236,             0.79488,             0.84465,             0.52457,            0.030095,            0.042734,           0.0038795,            0.005644,            0.005644,            0.005644
                  46,            0.033892,             0.02996,           0.0046796,             0.84774,             0.78837,             0.84743,             0.52819,            0.030019,            0.042608,           0.0037374,            0.005545,            0.005545,            0.005545
                  47,            0.033882,              0.0304,           0.0045933,             0.86817,             0.77326,             0.85375,             0.54032,            0.029896,            0.042423,           0.0038281,            0.005446,            0.005446,            0.005446
                  48,            0.033515,            0.029973,           0.0045327,             0.86551,             0.77921,             0.85343,             0.53985,            0.029759,            0.042308,           0.0036884,            0.005347,            0.005347,            0.005347
                  49,            0.033198,             0.02951,           0.0044599,             0.83853,             0.78797,             0.85596,             0.54329,             0.02964,            0.042078,            0.003712,            0.005248,            0.005248,            0.005248
                  50,            0.033173,            0.029249,           0.0043704,             0.89178,             0.77652,             0.87234,             0.55303,            0.029478,            0.041941,           0.0036048,            0.005149,            0.005149,            0.005149
                  51,            0.033094,            0.029788,            0.004422,             0.87821,             0.78629,             0.85719,             0.54717,            0.029382,            0.041821,           0.0035029,             0.00505,             0.00505,             0.00505
                  52,            0.032692,            0.029867,           0.0042175,             0.85548,               0.794,             0.86698,             0.56243,            0.029171,            0.041509,           0.0034895,            0.004951,            0.004951,            0.004951
                  53,            0.032672,            0.028927,           0.0042913,             0.87016,             0.79209,             0.86666,             0.55373,            0.029248,            0.041676,           0.0034729,            0.004852,            0.004852,            0.004852
                  54,            0.032508,            0.029347,           0.0042971,             0.88698,             0.79781,             0.87088,             0.56104,            0.029096,            0.041369,           0.0033731,            0.004753,            0.004753,            0.004753
                  55,            0.032344,            0.028604,             0.00419,             0.87185,             0.81881,             0.87769,             0.56773,            0.028952,            0.041224,           0.0032991,            0.004654,            0.004654,            0.004654
                  56,            0.032365,            0.028813,           0.0041172,             0.85443,             0.82016,             0.86966,             0.56609,            0.028921,             0.04117,           0.0034178,            0.004555,            0.004555,            0.004555
                  57,            0.031976,             0.02895,           0.0041013,             0.86551,             0.81667,             0.87013,             0.56693,            0.028838,            0.041057,           0.0032954,            0.004456,            0.004456,            0.004456
                  58,            0.032045,            0.028701,           0.0040273,             0.86611,             0.80851,             0.86632,             0.56772,            0.028653,            0.040705,           0.0033884,            0.004357,            0.004357,            0.004357
                  59,              0.0319,             0.02859,           0.0038439,             0.86301,             0.82066,             0.86913,             0.57105,            0.028617,             0.04064,           0.0032737,            0.004258,            0.004258,            0.004258
                  60,            0.031692,            0.028602,           0.0038253,             0.87299,             0.82181,             0.87232,             0.57038,            0.028496,            0.040686,           0.0033341,            0.004159,            0.004159,            0.004159
                  61,            0.031637,              0.0286,            0.003886,             0.87294,             0.82996,             0.87605,             0.57243,            0.028439,            0.040623,            0.003165,             0.00406,             0.00406,             0.00406
                  62,            0.031454,            0.028132,           0.0038944,             0.87564,             0.81678,             0.86968,             0.57812,            0.028308,            0.040435,           0.0031989,            0.003961,            0.003961,            0.003961
                  63,            0.031125,            0.027801,           0.0037872,             0.87556,             0.81609,             0.87331,             0.57207,            0.028235,            0.040389,           0.0032064,            0.003862,            0.003862,            0.003862
                  64,            0.031188,            0.028153,           0.0037721,             0.86433,             0.83338,             0.87474,             0.58064,            0.028181,            0.040308,           0.0031463,            0.003763,            0.003763,            0.003763
                  65,            0.030872,            0.027877,           0.0036358,             0.89543,             0.80128,             0.87498,             0.58038,            0.028078,            0.040264,           0.0031646,            0.003664,            0.003664,            0.003664
                  66,            0.030747,            0.027652,           0.0036345,             0.86291,             0.82413,             0.87612,             0.58426,            0.027949,            0.039894,            0.003137,            0.003565,            0.003565,            0.003565
                  67,             0.03083,            0.027566,             0.00364,             0.88978,             0.82695,             0.87872,             0.58663,            0.027948,             0.03988,           0.0030538,            0.003466,            0.003466,            0.003466
                  68,            0.030614,            0.027661,           0.0035457,             0.88736,             0.82779,             0.88135,             0.58409,            0.027808,             0.03958,           0.0030983,            0.003367,            0.003367,            0.003367
                  69,            0.030563,            0.027594,           0.0035601,             0.89974,             0.82768,             0.88742,              0.5852,            0.027781,             0.03968,           0.0030884,            0.003268,            0.003268,            0.003268
                  70,            0.030405,            0.027501,             0.00352,             0.87047,             0.81968,             0.87615,             0.58829,            0.027727,            0.039624,           0.0030627,            0.003169,            0.003169,            0.003169
                  71,             0.03009,            0.027301,           0.0034517,             0.89104,             0.79574,              0.8754,             0.59052,            0.027691,            0.039723,           0.0030031,             0.00307,             0.00307,             0.00307
                  72,            0.030052,            0.027299,           0.0034301,             0.90948,             0.82179,             0.88435,             0.59821,            0.027537,            0.039403,            0.003014,            0.002971,            0.002971,            0.002971
                  73,             0.03014,              0.0273,           0.0034082,             0.88064,             0.84379,             0.88887,             0.59541,            0.027594,            0.039505,           0.0029763,            0.002872,            0.002872,            0.002872
                  74,             0.02979,            0.026667,            0.003367,             0.90512,             0.82174,             0.89256,             0.60004,            0.027459,            0.039356,           0.0029556,            0.002773,            0.002773,            0.002773
                  75,            0.029892,            0.027629,           0.0034137,             0.88651,             0.83224,             0.88977,             0.60074,            0.027443,            0.039296,           0.0029921,            0.002674,            0.002674,            0.002674
                  76,            0.029758,            0.027075,           0.0032948,             0.89662,             0.81716,             0.88694,             0.60574,            0.027329,            0.039156,           0.0029237,            0.002575,            0.002575,            0.002575
                  77,            0.029463,            0.026523,            0.003206,             0.89428,             0.82654,             0.88869,             0.60173,            0.027277,            0.039143,           0.0028887,            0.002476,            0.002476,            0.002476
                  78,            0.029429,            0.026589,           0.0032575,             0.89488,             0.82516,             0.88838,             0.60272,            0.027231,            0.039148,           0.0028926,            0.002377,            0.002377,            0.002377
                  79,            0.029296,            0.026448,           0.0031859,             0.89664,             0.83003,             0.89504,              0.6077,            0.027169,            0.039012,           0.0028544,            0.002278,            0.002278,            0.002278
                  80,            0.029069,            0.026437,           0.0031947,             0.89962,             0.81349,             0.88364,             0.60559,            0.027121,            0.038939,            0.002834,            0.002179,            0.002179,            0.002179
                  81,            0.029098,            0.026499,           0.0031108,             0.89545,             0.81596,             0.88216,             0.60777,            0.027087,            0.038947,            0.002846,             0.00208,             0.00208,             0.00208
                  82,            0.028921,            0.026123,            0.003045,             0.91257,             0.81501,             0.88925,             0.61014,            0.026971,             0.03875,           0.0028236,            0.001981,            0.001981,            0.001981
                  83,            0.028829,            0.026237,            0.003087,             0.89512,             0.82617,             0.88712,             0.60444,            0.026932,              0.0388,           0.0028038,            0.001882,            0.001882,            0.001882
                  84,            0.028908,            0.026236,           0.0030909,              0.9089,             0.81996,             0.88503,             0.60461,            0.026906,            0.038689,           0.0028019,            0.001783,            0.001783,            0.001783
                  85,            0.028703,            0.026034,           0.0029972,             0.91458,              0.8228,              0.8856,             0.60462,            0.026922,            0.038714,           0.0028611,            0.001684,            0.001684,            0.001684
                  86,            0.028544,            0.026123,           0.0030137,             0.90633,             0.82384,             0.88556,             0.60886,            0.026834,            0.038648,           0.0028712,            0.001585,            0.001585,            0.001585
                  87,            0.028204,             0.02537,           0.0029336,             0.89743,             0.82549,             0.88581,             0.60777,            0.026773,            0.038594,           0.0028331,            0.001486,            0.001486,            0.001486
                  88,            0.028344,            0.025851,           0.0029216,             0.90473,             0.82266,             0.88787,             0.61162,            0.026792,             0.03857,           0.0028267,            0.001387,            0.001387,            0.001387
                  89,            0.028192,            0.025635,           0.0030107,             0.90063,              0.8234,             0.89229,             0.61305,            0.026744,            0.038463,           0.0027999,            0.001288,            0.001288,            0.001288
                  90,            0.028112,              0.0255,           0.0028457,             0.89329,             0.81172,             0.88802,             0.61174,            0.026702,            0.038448,             0.00277,            0.001189,            0.001189,            0.001189
                  91,            0.028043,            0.025681,           0.0028896,             0.88727,              0.8268,             0.89086,              0.6139,            0.026683,            0.038425,           0.0027434,             0.00109,             0.00109,             0.00109
                  92,            0.028072,             0.02546,           0.0028258,             0.89638,             0.82398,              0.8938,             0.61734,            0.026662,            0.038388,           0.0027498,            0.000991,            0.000991,            0.000991
                  93,            0.027934,             0.02541,           0.0027896,             0.90371,             0.82153,             0.89118,             0.61802,            0.026633,            0.038367,           0.0027541,            0.000892,            0.000892,            0.000892
                  94,            0.027839,            0.025075,           0.0028673,             0.89536,             0.82286,             0.88925,             0.61974,            0.026596,            0.038292,            0.002734,            0.000793,            0.000793,            0.000793
                  95,            0.027792,            0.025234,           0.0027957,             0.90095,             0.82147,             0.88916,             0.61832,            0.026558,            0.038306,           0.0027382,            0.000694,            0.000694,            0.000694
                  96,             0.02759,             0.02489,           0.0027984,             0.90855,             0.81851,             0.89084,             0.61908,             0.02657,            0.038377,           0.0027318,            0.000595,            0.000595,            0.000595
                  97,            0.027546,            0.024959,           0.0027628,             0.89941,             0.81986,             0.88954,             0.61738,            0.026547,            0.038359,           0.0027187,            0.000496,            0.000496,            0.000496
                  98,            0.027651,             0.02515,           0.0027582,             0.90192,             0.82758,              0.8913,             0.61917,             0.02652,             0.03832,           0.0027243,            0.000397,            0.000397,            0.000397
                  99,            0.027503,            0.024995,           0.0026916,             0.90665,             0.82334,             0.89221,             0.61993,            0.026497,              0.0383,           0.0027338,            0.000298,            0.000298,            0.000298
