               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032989,            0.028903,           0.0039754,             0.88099,             0.80737,             0.87583,             0.56861,            0.029136,            0.041174,           0.0036128,            0.006535,            0.006535,            0.006535
                  37,            0.032751,             0.02875,           0.0038816,             0.88536,             0.80047,             0.87191,             0.56693,            0.028993,            0.040874,           0.0034915,            0.006436,            0.006436,            0.006436
                  38,            0.032669,            0.028565,           0.0037666,             0.88338,             0.79113,              0.8725,             0.57451,             0.02882,            0.040752,           0.0033808,            0.006337,            0.006337,            0.006337
                  39,            0.032302,            0.027928,           0.0037558,             0.88939,             0.79731,             0.87707,             0.57519,             0.02877,             0.04052,           0.0034083,            0.006238,            0.006238,            0.006238
                  40,             0.03243,            0.028399,           0.0037454,             0.88004,             0.79436,             0.86979,             0.57376,            0.028502,            0.040234,           0.0033992,            0.006139,            0.006139,            0.006139
                  41,            0.032231,             0.02826,           0.0036667,             0.86847,              0.8056,             0.86988,             0.57521,            0.028424,            0.040132,           0.0034531,             0.00604,             0.00604,             0.00604
                  42,            0.032144,            0.028152,           0.0036817,             0.88993,             0.79251,             0.87358,             0.58834,            0.028373,            0.040185,            0.003373,            0.005941,            0.005941,            0.005941
                  43,            0.031672,            0.027707,           0.0035136,             0.90463,             0.78951,             0.88014,             0.57763,            0.028372,            0.039906,           0.0032062,            0.005842,            0.005842,            0.005842
                  44,            0.031826,             0.02797,             0.00364,              0.9141,             0.79716,             0.88868,             0.59281,             0.02809,            0.039682,           0.0032007,            0.005743,            0.005743,            0.005743
                  45,            0.031477,            0.027557,           0.0034693,             0.87472,             0.82838,             0.88392,             0.58286,            0.027959,            0.039725,           0.0031921,            0.005644,            0.005644,            0.005644
                  46,             0.03154,            0.027371,           0.0034416,             0.90339,             0.78534,             0.88464,             0.59049,            0.027934,            0.039617,           0.0030847,            0.005545,            0.005545,            0.005545
                  47,            0.031444,            0.027651,           0.0034783,             0.89123,             0.80578,             0.87901,              0.5929,             0.02776,            0.039472,           0.0031245,            0.005446,            0.005446,            0.005446
                  48,            0.031249,              0.0274,           0.0034024,             0.89608,             0.82093,             0.88997,             0.59358,            0.027761,            0.039429,           0.0032562,            0.005347,            0.005347,            0.005347
                  49,             0.03104,            0.026887,           0.0033371,             0.89569,             0.80242,             0.88623,             0.58713,            0.027573,            0.039368,           0.0031338,            0.005248,            0.005248,            0.005248
                  50,            0.030707,             0.02664,           0.0033283,             0.91092,             0.79984,             0.89121,             0.59704,            0.027553,            0.039323,           0.0030896,            0.005149,            0.005149,            0.005149
                  51,            0.030831,            0.027211,           0.0034271,             0.90887,             0.80849,             0.88594,             0.59756,            0.027526,            0.039082,           0.0029834,             0.00505,             0.00505,             0.00505
                  52,            0.030538,            0.027321,           0.0032675,             0.90074,             0.81763,                0.89,             0.60028,            0.027268,            0.038975,           0.0030641,            0.004951,            0.004951,            0.004951
                  53,            0.030243,            0.026327,           0.0032294,             0.89701,             0.81745,             0.89199,             0.60674,            0.027215,            0.038903,           0.0030162,            0.004852,            0.004852,            0.004852
                  54,            0.030389,            0.026774,           0.0032421,             0.92219,             0.81285,             0.89227,             0.60201,             0.02716,            0.038713,           0.0029105,            0.004753,            0.004753,            0.004753
                  55,            0.030045,            0.026115,            0.003197,             0.91489,             0.82346,             0.89663,             0.61284,            0.026998,            0.038582,           0.0028473,            0.004654,            0.004654,            0.004654
                  56,             0.03022,            0.026312,           0.0031857,             0.90938,             0.79918,             0.89265,             0.61025,            0.026993,            0.038497,           0.0029444,            0.004555,            0.004555,            0.004555
                  57,            0.029808,            0.026403,            0.003114,             0.90921,             0.82319,             0.89534,             0.61333,            0.026902,            0.038485,           0.0029379,            0.004456,            0.004456,            0.004456
                  58,             0.02963,             0.02612,           0.0031092,             0.93183,             0.81169,             0.89952,             0.61929,            0.026714,            0.038249,           0.0028397,            0.004357,            0.004357,            0.004357
                  59,            0.029684,            0.026091,           0.0029719,             0.89683,             0.80682,              0.8904,             0.61377,             0.02673,            0.038461,           0.0028736,            0.004258,            0.004258,            0.004258
                  60,            0.029385,            0.026038,           0.0029807,             0.88936,             0.83167,             0.89895,             0.62389,            0.026591,            0.038239,           0.0028393,            0.004159,            0.004159,            0.004159
                  61,            0.029432,            0.026048,           0.0030345,             0.90123,             0.81763,             0.89415,             0.61831,            0.026502,            0.038026,           0.0028464,             0.00406,             0.00406,             0.00406
                  62,            0.029326,            0.025635,           0.0030839,             0.89228,             0.82058,             0.89264,             0.61797,            0.026486,            0.038099,           0.0027823,            0.003961,            0.003961,            0.003961
                  63,            0.028959,            0.025302,           0.0029937,             0.88146,             0.83825,             0.89967,             0.62003,            0.026439,            0.037937,           0.0027868,            0.003862,            0.003862,            0.003862
                  64,            0.028989,            0.025616,           0.0029311,             0.91084,             0.83575,             0.90199,             0.62525,            0.026293,             0.03767,           0.0027973,            0.003763,            0.003763,            0.003763
                  65,            0.028689,            0.025349,           0.0028695,             0.90201,             0.82898,             0.89731,             0.62304,            0.026266,            0.037716,           0.0028084,            0.003664,            0.003664,            0.003664
                  66,            0.028603,            0.025256,           0.0028723,             0.90863,             0.80934,             0.89246,              0.6272,            0.026233,            0.037461,           0.0027942,            0.003565,            0.003565,            0.003565
                  67,            0.028607,            0.025127,           0.0029139,              0.9061,             0.81787,             0.89685,             0.62739,            0.026143,            0.037633,           0.0027008,            0.003466,            0.003466,            0.003466
                  68,            0.028491,            0.025176,           0.0028338,             0.88439,             0.84117,             0.90619,             0.63194,             0.02606,            0.037364,            0.002632,            0.003367,            0.003367,            0.003367
                  69,             0.02853,            0.025208,           0.0029176,             0.90057,             0.83233,             0.90576,             0.63401,            0.026003,             0.03723,           0.0026494,            0.003268,            0.003268,            0.003268
                  70,            0.028212,            0.025043,           0.0027683,             0.91387,             0.82278,             0.90242,              0.6344,            0.025917,            0.037234,           0.0026033,            0.003169,            0.003169,            0.003169
                  71,            0.028039,            0.024862,           0.0027472,             0.91727,             0.80406,             0.90016,             0.63297,            0.025877,            0.037255,           0.0026725,             0.00307,             0.00307,             0.00307
                  72,            0.027944,            0.024835,           0.0027077,             0.90355,             0.82933,             0.90468,             0.63456,            0.025763,            0.037144,           0.0026064,            0.002971,            0.002971,            0.002971
                  73,            0.028071,            0.024867,           0.0027963,             0.90679,             0.83097,             0.90029,             0.63907,            0.025704,            0.037103,           0.0026492,            0.002872,            0.002872,            0.002872
                  74,            0.027746,             0.02426,           0.0026604,             0.91706,             0.82568,              0.9073,             0.64302,            0.025699,            0.037146,           0.0026062,            0.002773,            0.002773,            0.002773
                  75,            0.027777,            0.025141,           0.0027405,             0.91491,             0.82067,             0.90557,             0.64467,            0.025696,            0.037185,           0.0025133,            0.002674,            0.002674,            0.002674
                  76,            0.027683,            0.024685,           0.0026693,             0.91279,             0.84572,             0.91183,             0.64879,            0.025584,            0.036921,           0.0025819,            0.002575,            0.002575,            0.002575
                  77,            0.027331,            0.024174,           0.0025697,             0.89261,             0.83663,             0.90523,             0.64658,            0.025563,            0.036884,           0.0025701,            0.002476,            0.002476,            0.002476
                  78,            0.027371,            0.024189,            0.002678,             0.89253,             0.83496,             0.90168,             0.64357,            0.025483,            0.036809,           0.0025709,            0.002377,            0.002377,            0.002377
                  79,            0.027219,            0.024048,           0.0025425,             0.90002,             0.82635,             0.90235,             0.64791,            0.025441,            0.036903,           0.0026131,            0.002278,            0.002278,            0.002278
                  80,            0.027021,            0.024102,           0.0025414,             0.90954,             0.82439,             0.90113,             0.64586,            0.025429,            0.036862,           0.0026313,            0.002179,            0.002179,            0.002179
                  81,             0.02711,            0.024183,            0.002589,             0.90403,             0.82634,             0.89962,             0.64602,             0.02542,            0.036828,           0.0026359,             0.00208,             0.00208,             0.00208
                  82,            0.026887,            0.023712,           0.0024819,             0.89317,             0.83397,             0.89996,             0.64967,            0.025375,            0.036826,            0.002605,            0.001981,            0.001981,            0.001981
                  83,            0.026796,            0.023834,           0.0025271,             0.89258,             0.83315,             0.89889,             0.64977,            0.025332,            0.036654,           0.0025599,            0.001882,            0.001882,            0.001882
                  84,             0.02684,            0.023825,           0.0025135,             0.88984,             0.84085,             0.90368,             0.64807,            0.025293,            0.036653,           0.0025379,            0.001783,            0.001783,            0.001783
                  85,            0.026749,            0.023734,           0.0024798,              0.9067,             0.82754,             0.90379,              0.6528,            0.025238,            0.036609,           0.0025662,            0.001684,            0.001684,            0.001684
                  86,            0.026542,            0.023787,           0.0024508,             0.90521,             0.84363,             0.90521,             0.65103,            0.025203,            0.036628,           0.0025527,            0.001585,            0.001585,            0.001585
                  87,             0.02621,            0.023041,           0.0024161,             0.89613,             0.85012,             0.90378,             0.64996,            0.025186,            0.036612,           0.0025804,            0.001486,            0.001486,            0.001486
                  88,            0.026384,            0.023521,           0.0024064,             0.90709,             0.84826,             0.90771,             0.65282,            0.025177,            0.036543,           0.0025128,            0.001387,            0.001387,            0.001387
                  89,            0.026222,            0.023275,           0.0024528,             0.89672,             0.85198,             0.90414,              0.6536,            0.025109,            0.036411,           0.0025135,            0.001288,            0.001288,            0.001288
                  90,            0.026208,            0.023262,           0.0023316,             0.89243,             0.84929,             0.90757,             0.65516,            0.025062,            0.036406,           0.0024862,            0.001189,            0.001189,            0.001189
                  91,             0.02615,            0.023414,           0.0023915,             0.89392,             0.85861,             0.90748,             0.65598,            0.025022,            0.036361,           0.0024663,             0.00109,             0.00109,             0.00109
                  92,            0.026117,            0.023192,           0.0023578,             0.90595,             0.84923,             0.90835,             0.65731,            0.025006,            0.036332,           0.0024841,            0.000991,            0.000991,            0.000991
                  93,            0.025985,             0.02311,           0.0023152,             0.89864,             0.84887,             0.90679,             0.65783,            0.024998,            0.036341,           0.0024835,            0.000892,            0.000892,            0.000892
                  94,            0.025884,            0.022772,           0.0023576,             0.89671,             0.85167,             0.90843,             0.65679,             0.02497,            0.036325,           0.0024883,            0.000793,            0.000793,            0.000793
                  95,            0.025841,            0.022922,           0.0023128,             0.90533,             0.85054,             0.90803,             0.65798,            0.024953,             0.03635,           0.0024988,            0.000694,            0.000694,            0.000694
                  96,            0.025679,             0.02257,           0.0023662,             0.91026,             0.84446,             0.90697,             0.65967,             0.02494,            0.036364,            0.002504,            0.000595,            0.000595,            0.000595
                  97,            0.025661,            0.022736,           0.0023365,             0.89479,             0.85195,             0.90604,             0.65932,            0.024925,            0.036365,           0.0025164,            0.000496,            0.000496,            0.000496
                  98,             0.02573,            0.022865,           0.0022943,             0.89812,             0.85007,              0.9069,                0.66,            0.024907,            0.036327,            0.002499,            0.000397,            0.000397,            0.000397
                  99,            0.025553,            0.022753,           0.0022453,             0.89999,             0.85026,             0.90825,              0.6608,            0.024892,             0.03633,           0.0024967,            0.000298,            0.000298,            0.000298
